GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Authorization Basic Role,org.fcrepo.auth.roles.basic,BasicRolesAuthorizationDelegate.new Principal() {...},0,8,0,0,0,3,0,3,0,3
Fedora Repository Authorization Basic Role,org.fcrepo.auth.roles.basic,BasicRolesAuthorizationDelegate,6,87,2,16,2,26,2,11,0,4
